央视频道,#genre#
CCTV4,http://114.254.209.157:8888/rtp/239.3.1.105:8092,0.6433
CCTV4欧洲,http://61.48.28.175:8180/rtp/239.3.1.213:4220,0.6425
CCTV4美洲,http://111.197.224.161:4022/rtp/239.3.1.214:4220,0.6336
CCTV4,http://wg.mxmy.net:8888/rtp/239.3.1.105:8092,0.6182
CCTV4美洲,http://222.129.36.235:9001/rtp/239.3.1.214:4220,0.617
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.105:8092,0.6089
CCTV4,http://114.254.219.197:8000/rtp/239.3.1.105:8092,0.5991
CCTV4欧洲,http://sweetown.fun:4000/rtp/239.3.1.213:4220,0.5935
CCTV4美洲,http://123.121.216.27:8180/rtp/239.3.1.214:4220,0.5735
CCTV4欧洲,http://123.121.216.27:8180/rtp/239.3.1.213:4220,0.5631
CCTV4,http://222.129.32.10:8888/rtp/239.3.1.105:8092,0.5542
CCTV4,http://111.196.185.170:5555/rtp/239.3.1.105:8092,0.5395
CCTV4欧洲,http://120.244.86.221:9999/udp/228.1.1.213:4220,0.5247
CCTV4欧洲,http://114.254.86.80:2222/rtp/239.3.1.213:4220,0.5207
CCTV4美洲,http://114.249.27.188:9000/rtp/239.3.1.214:4220,0.4857
CCTV4美洲,http://111.193.234.141:8888/rtp/239.3.1.214:4220,0.463
CCTV4,http://61.48.28.175:8180/rtp/239.3.1.105:8092,0.4451
CCTV4,http://114.253.218.94:5400/rtp/239.3.1.105:8092,0.4449
CCTV4,http://1.203.76.226:7788/udp/225.1.8.4:8092,0.4252
CCTV4欧洲,http://123.121.216.27:8180/rtp/239.3.1.213:4220,0.4157
CCTV4美洲,http://123.118.59.198:8888/rtp/239.3.1.214:4220,0.4114
CCTV4美洲,http://123.121.216.27:8180/rtp/239.3.1.214:4220,0.396
CCTV4,http://114.253.218.94:5400/rtp/239.3.1.105:8092,0.3872
CCTV4,http://123.118.59.198:8888/rtp/239.3.1.105:8092,0.3828
CCTV4欧洲,http://123.113.237.79:8888/rtp/239.3.1.213:4220,0.3748
CCTV4美洲,http://114.254.86.80:2222/rtp/239.3.1.214:4220,0.3733
CCTV4,http://111.196.185.170:5555/rtp/239.3.1.105:8092,0.3706
CCTV4美洲,http://61.48.28.175:8180/rtp/239.3.1.214:4220,0.3562
CCTV4K,http://120.244.86.221:9999/udp/228.1.1.227:2000,0.3551
CCTV4,http://61.48.28.175:8180/rtp/239.3.1.105:8092,0.3487
CCTV4欧洲,http://222.129.36.235:9001/rtp/239.3.1.213:4220,0.3385
CCTV4美洲,http://120.244.86.221:9999/udp/228.1.1.203:4220,0.3323
CCTV4美洲,http://114.254.219.197:8000/rtp/239.3.1.214:4220,0.3266
CCTV4,http://1.202.9.192:8888/udp/225.1.8.104:8216,0.322
CCTV4,http://123.121.216.27:8180/rtp/239.3.1.105:8092,0.3208
CCTV4欧洲,http://111.196.185.170:5555/rtp/239.3.1.213:4220,0.3196
CCTV4,http://114.254.189.79:9999/rtp/239.3.1.105:8092,0.3135
CCTV4,http://1.202.9.192:8888/udp/225.1.8.104:8216,0.3092
CCTV4欧洲,http://123.113.237.79:8888/rtp/239.3.1.213:4220,0.3089
CCTV4美洲,http://123.113.237.79:8888/rtp/239.3.1.214:4220,0.3056
CCTV4欧洲,http://222.129.32.10:8888/rtp/239.3.1.213:4220,0.3048
CCTV4美洲,http://222.129.36.235:9001/rtp/239.3.1.214:4220,0.3019
CCTV4,http://222.129.36.235:9001/rtp/239.3.1.105:8092,0.3016
CCTV4美洲,http://123.113.237.79:8888/rtp/239.3.1.214:4220,0.2989
CCTV4美洲,http://123.118.59.198:8888/rtp/239.3.1.214:4220,0.2903
CCTV4欧洲,http://114.249.27.188:6000/rtp/239.3.1.213:4220,0.2736
CCTV4美洲,http://111.196.185.170:5555/rtp/239.3.1.214:4220,0.2736
CCTV4欧洲,http://123.118.59.198:8888/rtp/239.3.1.213:4220,0.2681
CCTV4欧洲,http://123.118.59.198:8888/rtp/239.3.1.213:4220,0.2639
CCTV4欧洲,http://125.34.18.98:8888/rtp/239.3.1.213:4220,0.2622
CCTV4欧洲,http://111.196.185.170:5555/rtp/239.3.1.213:4220,0.2563
CCTV4欧洲,http://111.193.234.141:8888/rtp/239.3.1.213:4220,0.2456
CCTV4,http://114.254.86.80:2222/rtp/239.3.1.105:8092,0.2441
CCTV4,http://114.249.27.188:6000/rtp/239.3.1.105:8092,0.2243
CCTV4欧洲,http://114.254.219.197:8000/rtp/239.3.1.213:4220,0.2214
CCTV4,http://wg.mxmy.net:8888/rtp/239.3.1.105:8092,0.218
